Catalogue/Guidebook Title,Exhibition Title,Publishing Info,Curator(s),Artwork Number,Artwork Title,Artist Name,Artwork Location,Location Lat.,Location Long.,Artwork Specific Loc.,Artwork Lat.,Artwork Long.,Artist BY/Est.,Artist DY,Artist Birthplace,Artist Workplace
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.2-1,Blood of Two (2009),Mathew Barney and Elizabeth Peyton,Al Mureijah Square,25.356875,55.381479,Bait Hussain Makrani,25.356592,55.381738,1967; 1964,NA,"San Francisco, USA; Danbury, Connecticut, USA","New York, USA"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.1-1,Peace Is Not What You Believe (2012–2013),kamarstudios,Al Mureijah Square,25.356875,55.381479,Bait Al Aboudi,25.35669,55.381543,Est. 1999,NA,"Marrakech, Morocco","Marrakech, Morocco"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.8-1,Myths and Legends Room – The Mural (2010),Hala Elkoussy,Al Mureijah Square,25.356875,55.381479,Gallery 6,25.35719,55.382002,1974,NA,"Cairo, Egypt","Cairo, Egypt"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.8-2,Someone Else – A library of 100 books written anonymously or under (2011),Shilpa Gupta,Al Mureijah Square,25.356875,55.381479,Gallery 6,25.35719,55.382002,1976,NA,"Mumbai, India","Mumbai, India"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.8-3,Happy New Year (2009–2010); Life Buoy No. 1 (2012),Hui Zhang,Al Mureijah Square,25.356875,55.381479,Gallery 6,25.35719,55.382002,1967,NA,"Heilongjiang, China","Beijing, China"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,"1.8, 1.12-1",Dictums 10:120 (2011–2013),Wael Shawky,Al Mureijah Square,25.356875,55.381479,Between Galleries 2 & 6,25.357226,55.382112,1971,NA,"Alexandria, Egypt","Alexandria, Egypt"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.12-1,"Don’t Cross the Bridge Before You Get to the River (2008) (In collaboration with Julien Devaux, Rafael Ortega, Felix Blume, Ivan Bocara, Jimena Blasquez, Roberto Rubalcava, Begoña Rey, Abbas Benhnin and the kids of Tarifa and Tangier); Children’s Game #2: Ricochets (2007) (In collaboration with Rafael Ortega)",Francis Alÿs,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1959,NA,"Antwerp, Belgium","Mexico City, Mexico"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.12-2,Parcel (2011); Hole (2013); Landscape (2013),Thomas Demand,Al Mureijah Square,25.356875,55.381479,Gallery 2,25.357159,55.382193,1964,NA,"Munich, Germany","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.12-3,The Prediction Machine (2013),Mohamed Ali Fadlabi,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1975,NA,"Omdurman, Sudan","Oslo, Norway"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.12-4,Vayu-Vata (2013),Gabriel Lester,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1972,NA,"Amsterdam, The Netherlands","Amsterdam, The Netherlands; Shanghai, China"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.12-5,silence spins (2012),"Seigen Ono, Ryuichi Sakamato and Shiro Takatani",Al Mureijah Square,25.356875,55.381479,Gallery 2,25.357159,55.382193,1958; 1952; 1963,NA,"Fukushima, Japan; Tokyo, Japan; Kyoto, Japan","Tokyo, Japan; New York, USA; Kyoto, Japan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.12-6,composition (2013),Shiro Takatani,Al Mureijah Square,25.356875,55.381479,"Courtyard, Gallery 1& 2",25.357201,55.38229,1963,NA,"Kyoto, Japan","Kyoto, Japan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.11-1,Shazdeh’s Garden (01) (02) and (03) (2009–2010); Untitled 01- Untitled 21,Monir Shahroudy Farmanfarmaian,Al Mureijah Square,25.356875,55.381479,Gallery 3,25.356922,55.382461,1924,2019,"Qazvin, Iran","Tehran, Iran"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,11.1-2,Sand on Table as Model of “Self-Organising Criticality” (1992–2013),Gabriel Orozco,Al Mureijah Square,25.356875,55.381479,Gallery 3,25.356922,55.382461,1962,NA,"Jalapa, Mexico","Mexico City, Mexico; New York, USA; Paris, France"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.19-1,Portrait of Avar (2010); Delinking (2011),Taus Makhacheva,Al Mureijah Square,25.356875,55.381479,Gallery 4,25.356948,55.382146,1983,NA,"Dagestan, Russia","London, UK"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.19-2,"Did you see what love did to us once again/Flag #32
Happy Valley/Flag #47
Rescue me from who i am, and from what i am becoming/Flag #11
Texas Flowers/Flag #22 (2008–2010); I am the echo of your screams/Flag #44 (2010); I wait for the sun to return, and for another birth (2009); Love left as easily as it came, darkness fell and we had no one left to blame (2011); Over come me sweet oblivion, I am ashamed, Humbled and unstable (2011); Those silent and snowy days, I watched it all melt away
Vatane man, deene man (my country, my religion) (2010)",Sara Rahbar,Al Mureijah Square,25.356875,55.381479,Gallery 4,25.356948,55.382146,1976,NA,"Tehran, Iran","New York, USA"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.19-3,"The cypress is, despite its freedom, held captive by the garden (2012); Contamination (2011–2013)",Shahzia Sikander,Al Mureijah Square,25.356875,55.381479,Gallery 4,25.356948,55.382146,1969,NA,"Lahore, Pakistan","New York, USA"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.10-1,Pattern Matching (2012); City Language III (2009); Session (2013),Nevin Aladağ,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1972,NA,"Van, Turkey","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.10-2,Scouting for Locations – Film title: Traces of a Scream (2013),Yazan Khalili,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1981,NA,"Damascus, Syria","Ramallah, Palestine"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.10-3,"Merely a Mistake II (No. 1, 2, 4, 7, and 8) (2009–2013); Exotic Lands (No. 14, 15, 16, 17, 18, 19, 20, 21) (2013)",Wei Liu,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1972,NA,"Beijing, China","Beijing, China"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.10-4,Various works (2006–2013),Basim Magdy,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1977,NA,"Assiut, Egypt","Cairo, Egypt; Basel, Switzerland"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.10-5,UNRWA (Nahr al Bared 3; Nahr al Bared 4; Nahr el Bared 5; Rashidiyeh 4; Shabriha 13; Ain el Helwi 3; Shatila 3) (2011–2013),Marwan Rechmaoui,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1964,NA,"Beirut, Lebanon","Beirut, Lebanon"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.8-1,"Enquanto a cultura nos separa, a natureza nos une (While Culture Moves Us Apart, Nature Brings Us Together) (2013)",Ernesto Neto,Calligraphy Square,25.358096,55.384638,Courtyard beside Bait Al Naboodah,25.358107,55.383822,1964,NA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.3-1,Bubble (2013),Kazuyo Sejima + Ryue Nishizawa/SANAA,Calligraphy Square,25.358096,55.384638,Calligraphy Square Courtyard,25.358096,55.384638,Est. 1995,NA,"Tokyo, Japan","Tokyo, Japan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.13-1,Shimabuku’s Boat Trip (2013),Shimabuku,Calligraphy Square,25.358096,55.384638,Waterside Boat Rental,25.358699,55.381578,1969,NA,"Kobe, Japan","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.6-1,This and Many More? (2013),Anawana Haloba,Calligraphy Square,25.358096,55.384638,Dar Al Nadwa,25.357949,55.384493,1978,NA,"Livingstone, Zambia","Oslo, Norway"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.6-2,Parallax (2013),Shahzia Sikander,Calligraphy Square,25.358096,55.384638,Dar Al Nadwa,25.357949,55.384493,1969,NA,"Lahore, Pakistan","New York, USA"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.5-1,Mabini Art Project: 100 Paintings (2009),Alfredo + Isabel Aquilizan,Calligraphy Square,25.358096,55.384638,Sharjah Calligraphy Museum,25.357856,55.384648,1962; 1965,NA,"Cagayan Valley, Philippines; Manila, Philippines","Manila, Philippines; Brisbane, Australia"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.5-2,Chalks and Pins (2011); Charcoal (2012),Pascale Marthine Tayou,Calligraphy Square,25.358096,55.384638,Sharjah Calligraphy Museum,25.357856,55.384648,1967,NA,"Yaoundé, Cameroon","Ghent, Belgium"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.5-3,How to Read an Image/Text Past a Surpassing Disaster? (2010),Jalal Toufic,Calligraphy Square,25.358096,55.384638,Sharjah Calligraphy Museum,25.357856,55.384648,1962,NA,Lebanon,"Istanbul, Turkey"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.5-4,Attempt 137 to Map the Drive (2011),Graziella Rizkallah Toufic and Jalal Toufic,Calligraphy Square,25.358096,55.384638,Sharjah Calligraphy Museum,25.357856,55.384648,1981; 1962,NA,"Chekka, Lebanon; Lebanon",NA
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.5-5,Dilbar (2013),Apichatpong Weerasethakul and Chai Siri,Calligraphy Square,25.358096,55.384638,Sharjah Calligraphy Museum,25.357856,55.384648,1970; 1983,NA,"Bangkok, Thailand; Bangkok, Thailand","Chiang Mai, Thailand; Chiang Mai, Thailand"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.4-1,We'll See How All Reverberates (2012),Carlos Amorales,Calligraphy Square,25.358096,55.384638,Calligraphers' Studios,25.357871,55.38484,1970,NA,"Mexico City, Mexico","Mexico City, Mexico"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.4-2,Snapshot (2013),Isįl Eğrikavuk,Calligraphy Square,25.358096,55.384638,Calligraphers' Studios,25.357871,55.38484,1980,NA,"Izmit, Turkey","Istanbul, Turkey"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.4-3,enframing home (2012–2013),"YOVO! YOVO! Eylien König, Martina Mahlknecht, Martin Prinoth, Doris Margarete Schmidt",Calligraphy Square,25.358096,55.384638,Calligraphers' Studios,25.357871,55.38484,Est. 2012,NA,"Hamburg, Germany","Hamburg, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.2-1,Your embodied garden (2013),Olafur Eliasson,Calligraphy Square,25.358096,55.384638,Ceramics House,25.358157,55.384912,1967,NA,"Copenhagen, Denmark","Copenhagen, Denmark; Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.1-1,The Prediction Machine (2013),Mohamed Ali Fadlabi,Calligraphy Square,25.358096,55.384638,Emirates Society for Arabic Calligraphy and Islamic Ornamentation,25.35826,55.384735,1975,NA,"Omdurman, Sudan","Oslo, Norway"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.1-2,Al Araba Al Madfuna (2012),Wael Shawky,Calligraphy Square,25.358096,55.384638,Emirates Society for Arabic Calligraphy and Islamic Ornamentation,25.35826,55.384735,1971,NA,"Alexandria, Egypt","Alexandria, Egypt"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.9-1,Oases (2012–2013),OFFICE Kersten Geers David Van Severen,Calligraphy Square,25.358096,55.384638,Courtyard beside Bait Al Naboodah,25.358107,55.383822,Est. 2002,NA,"Brussels, Belgium","Brussels, Belgium"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,2.12-1,Immediate Shelter (2013),Studio Mumbai - Bijoy Jain,Calligraphy Square,25.358096,55.384638,Alley beside Majlis Al Shaabi,25.358898,55.382828,Est. 1995,NA,"Mumbai, India","Mumbai, India"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.3-1,From Gulf to Gulf (2009–2013),CAMP,Bank Street,25.359566,55.38489,Corner of Hisn Ave and Corniche Rd,25.360243,55.384527,Est. 2007,NA,"Mumbai, India","Mumbai, India"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.4-1,Random Rolling Cylinder (2013),Carsten Höller,Bank Street,25.359566,55.38489,Alley beside Hisn Ave,25.359525,55.386251,1961,NA,"Brussels, Belgium",Stockholm Sweden
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.1-1,The Bank (2013),SUPERFLEX,Bank Street,25.359566,55.38489,Al Hisn Ave block,25.359195,55.385528,Est. 1993,NA,"Copenhagen, Denmark","Copenhagen, Denmark"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-1,External Rotation (2012),Mohamed Abdelkarim,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1983,NA,"Minya, Egypt","Cairo, Egypt"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-2,Saudi Automobile (2011),Sarah Abu Abdallah,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1990,NA,"Qatif, Saudi Arabia","Qatif, Saudi Arabia"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-3,Various works (2010–2013),Jananne Al-Ani,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1966,NA,"Kirkuk, Iraq","London, UK"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-4,"Oil workers (from the Shell company of Nigeria) returning home from work, caught in torrential rain (2013)",David Claerbout,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1969,NA,"Kortrijk, Belgium","Antwerp, Belgium; Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-5,Tkaf (2011),Latifa Echakhch,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1974,NA,"El Khnansa, Morocco","Paris, France; Martigny, Switzerland"
