Catalogue/Guidebook Title,Exhibition Title,Publishing Info,Curator(s),Artwork Number,Artwork Title,Artist Name,Artwork Location,Location Lat.,Location Long.,Artwork Specific Loc.,Artwork Lat.,Artwork Long.,Artist BY/Est.,Artist DY,Artist Birthplace,Artist Workplace
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",17,All around us - elsewheres are beginnings and endings,Christopher Cozier,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1959,NA,"Port of Spain, Trinidad & Tobago",Trinidad & Tobago
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",17,All around us - elsewheres are beginnings and endings,Christopher Cozier,Al Mureijah Square,25.356875,55.381479,Bait Abdul Raheem Jasem,25.357456,55.382290,1959,NA,"Port of Spain, Trinidad & Tobago",Trinidad & Tobago
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",18,Specters of Noon (2019),Allora & Calzadilla,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1974; 1971,NA,"Philadelphia, USA; Havana, Cuba","San Juan, Puerto Rico"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",19,"No prey, no pay (2018–2019)",Peter Friedl,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1960,NA,"Oberneukirchen, Austria","Berlin, Germany"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",20,The Black Boxes of Observational Activity (2019),Alaa Edris,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1986,NA,"Sharjah, UAE","Sharjah, UAE & Abu Dhabi, UAE"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",21,Infinite Sun (2019),Annie Dorsen,Al Mureijah Square,25.356875,55.381479,Gallery 2,25.357159,55.382193,1973,NA,NA,"New York, USA"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",22,Passion of Darna (2019),Eisa Jocson,Al Mureijah Square,25.356875,55.381479,Gallery 2,25.357159,55.382193,1986,NA,"Manila, Philippines","Manila, Philippines"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",22,Passion of Darna (2019),Eisa Jocson,Al Mureijah Square,25.356875,55.381479,Al Hamdan Bin Mousa Courtyard,25.357395,55.382147,1986,NA,"Manila, Philippines","Manila, Philippines"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",23,The Intrinsic Tendency of The Ens Sign (2019),Leo Asemota,Al Mureijah Square,25.356875,55.381479,Bait Khalid Ibrahim,25.357362,55.382610,1967,NA,"Benin City, Nigeria","London, UK; Benin City, Nigeria"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",24,Alliance for a sunny world or the Rainbow Serpent flows in free rivers (2019); Jannah Dam or The second murder of Adonis (2019),Aline Baiana,Al Mureijah Square,25.356875,55.381479,Outside Bait Abdul Raheem Jasem,25.357514,55.382459,1985,NA,"Salvador, Bahia, Brazil","Rio de Janeiro, Brazil; Berlin, Germany"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",25,One emerging from a point of view (2019),Wu Tsang,Al Mureijah Square,25.356875,55.381479,Bait Al Hurma/Bait Habib Shalawani,25.357639,55.382292,1982,NA,"Worcester, USA","New York, USA; Berlin, Germany"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",26,R for Resonance (2019),Ho Tzu Nyen,Calligraphy Square,25.358096,55.384638,Dar Al Nadwa,25.357949,55.384493,1976,NA,Singapore,Singapore
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",27,The Angels of Testimony (2019),Meiro Koizumi,Calligraphy Square,25.358096,55.384638,Dar Al Nadwa,25.357949,55.384493,1976,NA,"Gunma, Japan","Yokohama, Japan"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",28,Enrique de Malacca Memorial Project (2016–ongoing),Ahmad Fuad Osman,Calligraphy Square,25.358096,55.384638,Sharjah Calligraphy Museum,25.357856,55.384648,1969,NA,"Kedah, Malaysia","Bali, Indonesia; Kuala Lumpur, Malaysia"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",29,Co-Prosperity #3 (2019),Antariksa,Calligraphy Square,25.358096,55.384638,Sharjah Calligraphy Museum,25.357856,55.384648,1975,NA,"Surabaya, Indonesia","Yogyakarta, Indonesia"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",30,Mute Grain (2019),Phan Thảo Nguyên,Calligraphy Square,25.358096,55.384638,Sharjah Calligraphy Museum,25.357856,55.384648,1987,NA,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",31,The Starving of Sudan (2008),Xu Zhen,Calligraphy Square,25.358096,55.384638,Calligraphers' Studios,25.357871,55.384840,1977,NA,"Shanghai, China","Shanghai, China"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",32,A Dragon King in Sleepy Pride  (2019),Anawana Haloba,Calligraphy Square,25.358096,55.384638,Calligraphers' Studios,25.357871,55.384840,1978,NA,"Livingstone, Zambia","Oslo, Norway; Livingstone, Zambia"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",33,Drawers of War Transactions (2009–2019),T. Shanaathanan,Calligraphy Square,25.358096,55.384638,Sharjah Centre for the Art of Arabic Calligraphy and Ornamentation,25.358362,55.384546,1969,NA,"Jaffna, Sri Lanka","Jaffna, Sri Lanka"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",34,Notes from the New World (2015–2019),Mark Salvatus,Calligraphy Square,25.358096,55.384638,Emirates Society for Arabic Calligraphy and Islamic Ornamentation,25.358260,55.384735,1980,NA,"Lucban, Philippines","Manila, Philippines"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",35,Vision Machine (2019),Adriana Bustos,Calligraphy Square,25.358096,55.384638,Ceramics House,25.358157,55.384912,1965,NA,"Bahía Blanca, Argentina","Buenos Aires, Argentina"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",36,31st Century Museum of Contemporary Spirit: Various Works (2018-2019),31st Century Museum of Contemporary Spirit,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,2008,NA,"Kanazawa, Japan","Chiang Mai, Thailand"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",37,Flowers of Evil' (2019),Khadim Ali,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1978,NA,"Quetta, Pakistan","Sydney, Austraia; Kabul, Afghanistan"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",37,Flowers of Evil' (2019),Khadim Ali,Arts Square,25.361648,55.386495,Emirates Fine Arts Society,25.361688,55.386920,1978,NA,"Quetta, Pakistan","Sydney, Austraia; Kabul, Afghanistan"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",38,ChronoLOGICal (2015),Roslisham (Ise) Ismail,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1972,NA,"Kota Bharu, Malaysia","Kota Bharu, Malaysia; Kuala Lumpur, Malaysia"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",39,'TUGU 1370 : 1425' (2018–2019),Ampannee Satoh,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1983,NA,"Pattani, Thailand","Pathum Thani, Thailand"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",40,All We Imagine as Light (2017),Nalini Malani,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1946,NA,Karachi (Undivided India),"Bombay, India"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",41,Various works (1961–1969),Anwar Jalal Shemza,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1928,1985,"Simla, India","Stafford, UK"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",42,"Bone in the China: Success to the Africa Trade (1985); Act One, No Maps (1992); Memorial to Zong (1992); The Captain and the Mate (2017–2018); Man in a Stationery Drawer (2017–2018); Man in a Jumper Drawer (2018)",Lubaina Himid,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1954,NA,"Zanzibar, Tanzania","Preston, UK"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",43,My Mother Playing Oud (1958); Chain Breaker (1968); Love Story (1968); My Mother the Painter Fatima Saime (1972),Semiha Berksoy,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1910,2004,"Istanbul, Turkey","Istanbul, Turkey"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",44,Varios works (1965–2008),MARWAN,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1934,2016,"Damascus, Syria","Berlin, Germany"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",45,'Puff! (Sissiphilous)' (2016–2018),Bruno Pacheco,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1974,NA,"Lisbon, Portugal","Lisbon, Portugal; London, UK"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",46,Various works (1968–2012),Huguette Caland,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1931,2019,"Beirut, Lebanon","Beirut, Lebanon"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",47,'Encroachments' (2019),Shezad Dawood,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1974,NA,"London, UK","London, UK"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",48,'Emissaries' (2015–2017),Ian Cheng,Arts Square,25.361648,55.386495,Arts Square,25.361648,55.386495,1984,NA,"Los Angeles, USA","New York, USA"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",49,Various works (1987–1998),Astrid Klein,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1951,NA,"Cologne, France","Cologne, France"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",50,Healer (2019),Pamela Rosenkranz,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1979,NA,"Uri, Switzerland","Zurich, Switzerland"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",51,Various works (2018),Alessandro Balteo-Yazbeck,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1972,NA,"Caracas, Venezuela","Berlin, Germany"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",52,The Ballad of Special Ops Cody (2017),Michael Rakowitz,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1973,NA,"New York, USA","Chicago, USA"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",53,Various works (2015–2017),Kemang Wa Lehulere,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1984,NA,"Cape Town, South Africa","Cape Town, South Africa"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",54,Various works (2017),Stan Douglas,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1960,NA,"Vancouver, Canada","Vancouver, Canada; Los Angeles, USA"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",55,Various works (1986–2017),Barbara Kasten,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1936,NA,"Chicago, USA","Chicago, USA"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",56,Various works (2017–2019),Marwa Arsanios,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1978,NA,"Washington, DC","Beirut, Lebanon; Berlin, Germany"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",57,Once Removed (2019),Lawrence Abu Hamdan,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1985,NA,"Amman, Jordan","Beirut, Lebanon"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",58,Various works (2017–2019),Munem Wasif,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1983,NA,"Dhaka, Bangladesh","Dhaka, Bangladesh"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",59,Various works (2017–2019),Jon Rafman,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.386190,1981,NA,"Montreal, Canada","Montreal, Canada"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",60,Pataki 1921 (2019),Ulrik López,Arts Square,25.361648,55.386495,Bait Obaid Al Shamsi,25.362198,55.386830,1989,NA,"Mexico City, Mexico; San Juan, Puerto Rico","Mexico City, Mexico; San Juan, Puerto Rico"
